[2019-12-27 21:18:46] main.ERROR: Error: Application is not installed yet.  [] []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
